"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:22:43.8037954 PM","main.exe","24160","CreateFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gstreamer-1.0-0.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8038922 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\glib-2.0-0.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.8039083 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gstreamer-1.0-0.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"12:22:43.8039732 PM","main.exe","24160","Load Image","D:\Work\FingerDraw\FingerDraw\windows-server\Application\glib-2.0-0.dll","SUCCESS","Image Base: 0x7fff41660000, Image Size: 0x165000"
"12:22:43.8040437 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\MSVCP140.dll","NAME NOT FOUND",""
"12:22:43.8041263 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\VCRUNTIME140.dll","NAME NOT FOUND",""
"12:22:43.8041508 PM","main.exe","24160","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x7fffa63f0000, Image Size: 0x1c5000"
"12:22:43.8044305 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gstreamer-1.0-0.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.8044458 PM","main.exe","24160","Load Image","C:\Windows\System32\win32u.dll","SUCCESS","Image Base: 0x7fffa57a0000, Image Size: 0x27000"
"12:22:43.8045289 PM","main.exe","24160","Load Image","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gstreamer-1.0-0.dll","SUCCESS","Image Base: 0x7fff3bec0000, Image Size: 0x161000"
"12:22:43.8046522 PM","main.exe","24160","CloseFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gstreamer-1.0-0.dll","SUCCESS",""
"12:22:43.8046988 PM","main.exe","24160","Load Image","C:\Windows\System32\gdi32.dll","SUCCESS","Image Base: 0x7fffa70f0000, Image Size: 0x2b000"
"12:22:43.8048394 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\VCRUNTIME140_1.dll","NAME NOT FOUND",""
"12:22:43.8050207 PM","main.exe","24160","Load Image","C:\Windows\System32\gdi32full.dll","SUCCESS","Image Base: 0x7fffa5070000, Image Size: 0x12b000"
"12:22:43.8051289 PM","main.exe","24160","CreateFile","C:\Windows\System32\msvcp140.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8051698 PM","main.exe","24160","QueryBasicInformationFile","C:\Windows\System32\msvcp140.dll","SUCCESS","CreationTime: 11/21/2025 10:56:30 PM, LastAccessTime: 4/4/2026 12:21:49 PM, LastWriteTime: 11/21/2025 10:56:30 PM, ChangeTime: 4/2/2026 12:38:57 AM, FileAttributes: A"
"12:22:43.8051838 PM","main.exe","24160","CloseFile","C:\Windows\System32\msvcp140.dll","SUCCESS",""
"12:22:43.8052936 PM","main.exe","24160","Load Image","C:\Windows\System32\msvcp_win.dll","SUCCESS","Image Base: 0x7fffa56f0000, Image Size: 0xa3000"
"12:22:43.8054962 PM","main.exe","24160","CreateFile","C:\Windows\System32\vcruntime140.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8055329 PM","main.exe","24160","QueryBasicInformationFile","C:\Windows\System32\vcruntime140.dll","SUCCESS","CreationTime: 11/21/2025 10:56:32 PM, LastAccessTime: 4/4/2026 12:21:49 PM, LastWriteTime: 11/21/2025 10:56:32 PM, ChangeTime: 4/2/2026 12:38:58 AM, FileAttributes: A"
"12:22:43.8055433 PM","main.exe","24160","CloseFile","C:\Windows\System32\vcruntime140.dll","SUCCESS",""
"12:22:43.8056053 PM","main.exe","24160","Load Image","C:\Windows\System32\shell32.dll","SUCCESS","Image Base: 0x7fffa79a0000, Image Size: 0x75f000"
"12:22:43.8058094 PM","main.exe","24160","CreateFile","C:\Windows\System32\msvcp140.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8058644 PM","main.exe","24160","CreateFileMapping","C:\Windows\System32\msvcp140.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"12:22:43.8058999 PM","main.exe","24160","CreateFileMapping","C:\Windows\System32\msvcp140.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.8059842 PM","main.exe","24160","Load Image","C:\Windows\System32\msvcp140.dll","SUCCESS","Image Base: 0x7fff9c720000, Image Size: 0x88000"
"12:22:43.8060346 PM","main.exe","24160","Load Image","C:\Windows\System32\WinTypes.dll","SUCCESS","Image Base: 0x7fffa4f00000, Image Size: 0x16a000"
"12:22:43.8061208 PM","main.exe","24160","CloseFile","C:\Windows\System32\msvcp140.dll","SUCCESS",""
"12:22:43.8062186 PM","main.exe","24160","CreateFile","C:\Windows\System32\vcruntime140.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8062668 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\intl-8.dll","SUCCESS","CreationTime: 4/3/2026 9:27:14 PM, LastAccessTime: 4/4/2026 12:18:58 PM, LastWriteTime: 2/26/2026 8:50:20 PM, ChangeTime: 4/1/2026 11:31:27 PM, AllocationSize: 16,384, EndOfFile: 13,824, FileAttributes: A"
"12:22:43.8062787 PM","main.exe","24160","CreateFile","C:\Windows\System32\vcruntime140_1.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8063159 PM","main.exe","24160","CreateFileMapping","C:\Windows\System32\vcruntime140.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"12:22:43.8063341 PM","main.exe","24160","QueryBasicInformationFile","C:\Windows\System32\vcruntime140_1.dll","SUCCESS","CreationTime: 11/21/2025 10:56:32 PM, LastAccessTime: 4/4/2026 12:21:49 PM, LastWriteTime: 11/21/2025 10:56:32 PM, ChangeTime: 4/2/2026 12:38:58 AM, FileAttributes: A"
"12:22:43.8063430 PM","main.exe","24160","CreateFileMapping","C:\Windows\System32\vcruntime140.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.8063469 PM","main.exe","24160","CloseFile","C:\Windows\System32\vcruntime140_1.dll","SUCCESS",""
"12:22:43.8063954 PM","main.exe","24160","Load Image","C:\Windows\System32\combase.dll","SUCCESS","Image Base: 0x7fffa6d60000, Image Size: 0x382000"
"12:22:43.8064243 PM","main.exe","24160","Load Image","C:\Windows\System32\vcruntime140.dll","SUCCESS","Image Base: 0x7fff9c700000, Image Size: 0x1e000"
"12:22:43.8065471 PM","main.exe","24160","CloseFile","C:\Windows\System32\vcruntime140.dll","SUCCESS",""
"12:22:43.8065627 PM","main.exe","24160","CreateFile","C:\Windows\System32\vcruntime140_1.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8066047 PM","main.exe","24160","CreateFileMapping","C:\Windows\System32\vcruntime140_1.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"12:22:43.8066571 PM","main.exe","24160","CreateFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\intl-8.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8066800 PM","main.exe","24160","CreateFileMapping","C:\Windows\System32\vcruntime140_1.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.8066887 PM","main.exe","24160","Load Image","C:\Windows\System32\ole32.dll","SUCCESS","Image Base: 0x7fffa7230000, Image Size: 0x195000"
"12:22:43.8067248 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\intl-8.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"12:22:43.8067750 PM","main.exe","24160","Load Image","C:\Windows\System32\vcruntime140_1.dll","SUCCESS","Image Base: 0x7fff9c6f0000, Image Size: 0xb000"
"12:22:43.8067852 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\intl-8.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.8068592 PM","main.exe","24160","CloseFile","C:\Windows\System32\vcruntime140_1.dll","SUCCESS",""
"12:22:43.8068615 PM","main.exe","24160","Load Image","D:\Work\FingerDraw\FingerDraw\windows-server\Application\intl-8.dll","SUCCESS","Image Base: 0x7fff9e080000, Image Size: 0x8000"
"12:22:43.8069528 PM","main.exe","24160","CloseFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\intl-8.dll","SUCCESS",""
"12:22:43.8070817 PM","main.exe","24160","Load Image","C:\Windows\System32\advapi32.dll","SUCCESS","Image Base: 0x7fffa8180000, Image Size: 0xbb000"
"12:22:43.8073116 PM","main.exe","24160","Load Image","C:\Windows\System32\msvcrt.dll","SUCCESS","Image Base: 0x7fffa7120000, Image Size: 0xa9000"
"12:22:43.8075418 PM","main.exe","24160","Load Image","C:\Windows\System32\sechost.dll","SUCCESS","Image Base: 0x7fffa7520000, Image Size: 0xa7000"
"12:22:43.8077199 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\pcre2-8-0.dll","SUCCESS","CreationTime: 4/4/2026 12:15:45 AM, LastAccessTime: 4/4/2026 12:18:58 PM, LastWriteTime: 2/26/2026 8:50:26 PM, ChangeTime: 4/1/2026 11:31:28 PM, AllocationSize: 352,256, EndOfFile: 349,184, FileAttributes: A"
"12:22:43.8078364 PM","main.exe","24160","CloseFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\glib-2.0-0.dll","SUCCESS",""
"12:22:43.8079449 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\intl-8.dll","SUCCESS","CreationTime: 4/3/2026 9:27:14 PM, LastAccessTime: 4/4/2026 12:22:43 PM, LastWriteTime: 2/26/2026 8:50:20 PM, ChangeTime: 4/1/2026 11:31:27 PM, AllocationSize: 16,384, EndOfFile: 13,824, FileAttributes: A"
"12:22:43.8080093 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gobject-2.0-0.dll","SUCCESS","CreationTime: 4/3/2026 9:27:14 PM, LastAccessTime: 4/4/2026 12:18:58 PM, LastWriteTime: 2/26/2026 8:51:30 PM, ChangeTime: 4/1/2026 11:31:27 PM, AllocationSize: 364,544, EndOfFile: 361,472, FileAttributes: A"
"12:22:43.8082424 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gmodule-2.0-0.dll","SUCCESS","CreationTime: 4/3/2026 9:27:14 PM, LastAccessTime: 4/4/2026 12:18:58 PM, LastWriteTime: 2/26/2026 8:51:30 PM, ChangeTime: 4/1/2026 11:31:27 PM, AllocationSize: 28,672, EndOfFile: 26,112, FileAttributes: A"
"12:22:43.8082658 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\VCRUNTIME140.dll","NAME NOT FOUND",""
"12:22:43.8083554 PM","main.exe","24160","CreateFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\pcre2-8-0.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8084309 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\pcre2-8-0.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"12:22:43.8084981 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\pcre2-8-0.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.8085031 PM","main.exe","24160","CreateFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gobject-2.0-0.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8087035 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gobject-2.0-0.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"12:22:43.8087211 PM","main.exe","24160","CreateFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gmodule-2.0-0.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8087905 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gmodule-2.0-0.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"12:22:43.8088461 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gmodule-2.0-0.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.8088577 PM","main.exe","24160","Load Image","D:\Work\FingerDraw\FingerDraw\windows-server\Application\pcre2-8-0.dll","SUCCESS","Image Base: 0x7fff89600000, Image Size: 0x59000"
"12:22:43.8088612 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gobject-2.0-0.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.8089275 PM","main.exe","24160","Load Image","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gmodule-2.0-0.dll","SUCCESS","Image Base: 0x7fff9dba0000, Image Size: 0xb000"
"12:22:43.8089553 PM","main.exe","24160","Load Image","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gobject-2.0-0.dll","SUCCESS","Image Base: 0x7fff89500000, Image Size: 0x5e000"
"12:22:43.8089755 PM","main.exe","24160","CloseFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\pcre2-8-0.dll","SUCCESS",""
"12:22:43.8090024 PM","main.exe","24160","CloseFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gmodule-2.0-0.dll","SUCCESS",""
"12:22:43.8090333 PM","main.exe","24160","CloseFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gobject-2.0-0.dll","SUCCESS",""
"12:22:43.8092532 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\VCRUNTIME140.dll","NAME NOT FOUND",""
"12:22:43.8094368 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\VCRUNTIME140_1.dll","NAME NOT FOUND",""
"12:22:43.8106193 PM","main.exe","24160","CreateFile","C:\Windows\System32\vcruntime140.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8106553 PM","main.exe","24160","QueryBasicInformationFile","C:\Windows\System32\vcruntime140.dll","SUCCESS","CreationTime: 11/21/2025 10:56:32 PM, LastAccessTime: 4/4/2026 12:22:43 PM, LastWriteTime: 11/21/2025 10:56:32 PM, ChangeTime: 4/2/2026 12:38:58 AM, FileAttributes: A"
"12:22:43.8106626 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\ffi-7.dll","SUCCESS","CreationTime: 4/4/2026 12:17:38 AM, LastAccessTime: 4/4/2026 12:18:58 PM, LastWriteTime: 2/26/2026 8:50:24 PM, ChangeTime: 4/1/2026 11:31:27 PM, AllocationSize: 32,768, EndOfFile: 32,256, FileAttributes: A"
"12:22:43.8106705 PM","main.exe","24160","CloseFile","C:\Windows\System32\vcruntime140.dll","SUCCESS",""
"12:22:43.8106772 PM","main.exe","24160","CreateFile","C:\Windows\System32\vcruntime140.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8107082 PM","main.exe","24160","QueryBasicInformationFile","C:\Windows\System32\vcruntime140.dll","SUCCESS","CreationTime: 11/21/2025 10:56:32 PM, LastAccessTime: 4/4/2026 12:22:43 PM, LastWriteTime: 11/21/2025 10:56:32 PM, ChangeTime: 4/2/2026 12:38:58 AM, FileAttributes: A"
"12:22:43.8107195 PM","main.exe","24160","CloseFile","C:\Windows\System32\vcruntime140.dll","SUCCESS",""
"12:22:43.8107425 PM","main.exe","24160","CreateFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\ffi-7.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8107903 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\ffi-7.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"12:22:43.8108313 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\ffi-7.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.8109003 PM","main.exe","24160","Load Image","D:\Work\FingerDraw\FingerDraw\windows-server\Application\ffi-7.dll","SUCCESS","Image Base: 0x7fff99760000, Image Size: 0xc000"
"12:22:43.8109793 PM","main.exe","24160","CloseFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\ffi-7.dll","SUCCESS",""
"12:22:43.8110646 PM","main.exe","24160","CreateFile","C:\Windows\System32\vcruntime140_1.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8110933 PM","main.exe","24160","QueryBasicInformationFile","C:\Windows\System32\vcruntime140_1.dll","SUCCESS","CreationTime: 11/21/2025 10:56:32 PM, LastAccessTime: 4/4/2026 12:22:43 PM, LastWriteTime: 11/21/2025 10:56:32 PM, ChangeTime: 4/2/2026 12:38:58 AM, FileAttributes: A"
"12:22:43.8111036 PM","main.exe","24160","CloseFile","C:\Windows\System32\vcruntime140_1.dll","SUCCESS",""
"12:22:43.8114145 PM","main.exe","24160","CreateFile","C:\Windows\System32\ucrtbase.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8114678 PM","main.exe","24160","QuerySecurityFile","C:\Windows\System32\ucrtbase.dll","BUFFER OVERFLOW","Information: Owner"
"12:22:43.8114797 PM","main.exe","24160","QuerySecurityFile","C:\Windows\System32\ucrtbase.dll","SUCCESS","Information: Owner"
"12:22:43.8114930 PM","main.exe","24160","CloseFile","C:\Windows\System32\ucrtbase.dll","SUCCESS",""
"12:22:43.8116320 PM","main.exe","24160","CreateFile","C:\Windows\System32\vcruntime140.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8116652 PM","main.exe","24160","QuerySecurityFile","C:\Windows\System32\vcruntime140.dll","BUFFER OVERFLOW","Information: Owner"
